game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,
1.014,4.476,0.000,0.000,0.000,0.000,0.000,0.000,3.729,4.364,1.579,1.261,1.510,3.614,4.556,0.000,1.240,0.000,1.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.104,4.566,-1.739,1.230,0.583,0.000,1.247,3.960,0.000,3.070,1.451,1.271,1.669,0.000,3.336,0.000,1.244,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.203,4.666,-1.738,1.231,0.713,0.040,1.970,3.898,0.000,2.767,1.414,1.282,1.750,0.000,3.602,0.000,1.250,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.315,4.777,-1.736,1.232,0.764,0.011,5.742,3.905,2.302,2.807,1.419,1.281,1.739,0.000,3.590,0.000,1.248,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.409,4.871,-1.736,1.233,0.757,0.007,0.337,3.901,2.108,2.787,1.417,1.282,1.745,0.000,3.596,0.000,1.249,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.502,4.965,-1.735,1.233,0.760,0.001,6.283,3.899,1.959,2.778,1.416,1.282,1.749,0.000,3.600,0.000,1.249,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.614,5.077,-1.735,1.233,0.762,0.004,6.269,3.898,1.798,2.775,1.416,1.282,1.750,0.000,3.601,0.000,1.249,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.702,5.165,-1.735,1.233,0.763,0.002,6.280,3.897,1.684,2.772,1.415,1.283,1.751,0.000,3.602,0.000,1.249,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.809,5.272,-1.735,1.233,0.764,0.009,0.120,3.890,1.554,2.742,1.412,1.284,1.761,0.000,3.613,0.000,1.250,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.902,5.364,-1.735,1.234,0.769,0.018,0.507,3.877,1.457,2.681,1.404,1.288,1.784,0.000,3.636,0.000,1.251,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.009,5.472,-1.734,1.235,0.782,0.017,0.172,3.848,1.387,2.548,1.387,1.297,1.840,0.000,3.694,0.000,1.256,0.000,1.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.110,5.573,-1.732,1.236,0.810,0.023,0.082,3.847,1.333,2.550,1.388,1.298,1.840,0.000,3.695,0.000,1.256,0.000,1.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.208,5.671,-1.731,1.237,0.810,0.016,6.279,3.846,0.000,2.551,1.389,1.299,1.842,0.000,3.696,0.000,1.255,0.000,1.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.303,5.765,-1.731,1.238,0.810,0.027,6.279,3.843,0.000,2.555,1.391,1.301,1.844,0.000,3.698,0.000,1.253,0.000,1.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.403,5.865,-1.729,1.240,0.810,0.044,6.279,3.839,0.000,2.561,1.394,1.304,1.849,0.000,3.702,0.000,1.250,0.000,1.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.512,5.974,-1.726,1.243,0.810,0.066,6.278,0.869,0.000,2.570,1.399,1.308,1.855,0.000,3.707,0.000,1.245,0.000,1.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.611,6.073,-1.721,1.248,0.810,0.092,6.277,0.694,0.000,2.660,1.417,1.310,1.833,0.000,3.682,0.000,1.235,0.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.705,6.167,-1.715,1.254,0.794,0.121,5.367,0.652,4.077,3.975,1.576,1.295,1.592,4.144,3.902,0.000,1.206,0.000,1.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.803,6.265,-1.706,1.264,0.621,0.172,3.717,1.312,0.600,0.000,1.905,1.330,1.430,2.617,0.000,4.434,1.215,0.000,1.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.918,6.380,-1.691,1.275,0.415,0.179,4.681,0.457,2.697,0.000,1.823,1.333,1.483,2.923,0.000,4.681,1.190,0.000,1.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.011,6.474,-1.678,1.281,0.469,0.171,2.346,0.465,0.000,3.176,1.527,1.348,1.785,0.000,3.596,0.000,1.170,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.110,6.572,-1.663,1.288,0.724,0.177,2.591,2.155,0.000,2.311,1.418,1.417,2.201,0.000,4.007,0.000,0.421,0.000,0.965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.203,6.666,-1.653,1.297,0.912,0.100,1.799,2.486,0.000,1.915,1.368,1.521,2.832,0.000,4.583,1.166,0.439,0.000,0.790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.306,6.768,-1.648,1.303,1.073,0.074,1.945,3.592,0.000,1.679,1.355,1.679,4.040,4.006,0.000,0.521,0.584,0.000,0.649,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.415,6.877,-1.645,1.308,1.229,0.048,0.773,2.780,0.000,1.822,1.363,1.574,3.173,0.000,4.866,0.513,0.589,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.501,6.964,-1.644,1.313,1.129,0.059,3.760,4.210,0.000,2.405,1.440,1.418,2.156,0.000,3.974,0.000,0.478,0.000,0.965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.615,7.077,-1.642,1.319,0.890,0.069,3.857,3.816,0.000,3.278,1.561,1.372,1.809,0.000,3.627,0.000,0.481,0.000,1.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.711,7.174,-1.638,1.325,0.718,0.073,4.516,0.000,3.168,0.000,1.748,1.368,1.609,3.654,4.609,0.000,0.485,0.000,1.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.820,7.282,-1.633,1.329,0.556,0.058,4.219,1.198,2.397,0.000,1.963,1.390,1.509,2.819,0.000,4.578,0.526,0.000,1.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.902,7.364,-1.629,1.332,0.431,0.042,0.196,1.250,2.868,0.000,1.814,1.380,1.584,3.370,0.000,0.555,1.130,0.000,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.004,7.466,-1.625,1.334,0.518,0.059,0.906,0.000,2.978,0.000,1.792,1.381,1.602,3.509,4.960,0.577,1.125,0.000,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.108,7.570,-1.622,1.336,0.535,0.029,6.279,0.000,2.967,0.000,1.796,1.383,1.604,3.507,4.969,0.667,1.123,0.000,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.210,7.673,-1.620,1.337,0.534,0.033,6.275,0.000,2.955,0.000,1.800,1.386,1.606,3.508,4.972,0.823,1.121,0.000,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.308,7.771,-1.617,1.339,0.534,0.050,6.275,0.000,2.940,0.000,1.807,1.390,1.611,3.514,4.966,0.000,1.117,0.000,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.409,7.872,-1.613,1.341,0.533,0.073,6.274,0.000,2.920,0.000,1.815,1.396,1.617,3.525,4.950,0.000,1.110,0.000,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.501,7.963,-1.607,1.345,0.533,0.100,6.273,1.229,2.894,0.000,1.827,1.405,1.627,3.544,4.920,0.000,1.102,0.000,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.611,8.073,-1.598,1.350,0.532,0.130,6.278,1.216,2.863,0.000,1.842,1.416,1.639,3.569,1.241,0.000,1.091,0.000,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.702,8.165,-1.587,1.356,0.532,0.156,6.279,1.200,2.826,0.000,1.860,1.429,1.654,3.599,1.303,0.000,1.078,0.000,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.818,8.280,-1.574,1.364,0.532,0.181,6.279,0.000,2.874,0.000,1.857,1.439,1.678,3.720,1.421,0.000,1.066,0.000,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
4.906,8.368,-1.563,1.371,0.542,0.050,0.600,0.000,3.824,4.189,1.727,1.437,1.790,4.867,1.566,0.000,1.064,0.000,1.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.004,8.466,-1.564,1.370,0.639,-0.056,1.544,3.687,0.000,3.126,1.601,1.454,1.988,0.000,3.755,0.000,1.080,0.000,1.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.108,8.571,-1.567,1.367,0.766,-0.012,1.354,0.000,0.000,2.629,1.534,1.488,2.215,0.000,3.975,0.000,1.101,0.000,1.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.220,8.682,-1.566,1.369,0.867,0.035,1.181,1.957,0.000,2.234,1.479,1.553,2.607,0.000,4.337,1.101,1.143,0.000,0.895,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.302,8.764,-1.564,1.371,0.988,0.008,1.236,2.245,0.000,2.063,1.456,1.604,2.932,2.022,4.615,1.083,1.124,0.000,0.825,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.405,8.868,-1.565,1.370,1.059,-0.022,1.017,2.599,0.000,1.924,1.442,1.667,3.369,2.160,4.959,1.072,1.168,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.508,8.970,-1.565,1.369,1.131,-0.004,0.807,2.965,0.000,1.837,1.436,1.726,3.823,4.356,0.000,1.067,0.000,0.000,0.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.607,9.069,-1.565,1.370,1.186,0.021,0.719,3.471,0.000,1.763,1.436,1.797,4.441,3.571,0.000,1.064,0.000,0.000,0.649,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.700,9.163,-1.564,1.371,1.242,0.013,0.634,3.877,4.145,1.722,1.437,1.844,4.927,3.394,0.000,1.065,0.000,0.000,0.614,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.814,9.277,-1.564,1.370,1.275,-0.022,0.364,4.253,3.882,1.694,1.439,1.882,0.000,3.423,0.000,1.066,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
5.910,9.372,-1.565,1.369,1.300,-0.006,0.397,0.000,3.633,1.666,1.443,1.928,0.000,3.641,0.000,1.068,3.764,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
6.012,9.474,-1.564,1.370,1.328,0.012,0.438,0.000,3.429,1.642,1.447,1.974,0.000,3.682,0.000,1.070,3.731,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
6.112,9.575,-1.564,1.370,1.353,0.001,0.266,0.000,3.354,1.633,1.449,1.994,0.000,3.699,0.000,1.072,3.720,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
6.214,9.676,-1.564,1.370,1.364,-0.007,0.208,0.000,3.268,1.622,1.451,2.019,0.000,3.720,0.000,1.073,3.706,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
6.303,9.766,-1.564,1.370,1.376,-0.001,0.264,0.000,3.178,1.611,1.455,2.047,0.000,3.745,0.000,1.075,3.691,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
6.420,9.882,-1.564,1.370,1.390,0.003,0.230,0.000,3.123,1.603,1.457,2.066,0.000,3.761,0.000,1.077,3.682,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
6.509,9.971,-1.564,1.370,1.399,-0.001,0.165,0.000,3.082,1.598,1.459,2.081,0.000,3.774,0.000,1.078,3.675,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
6.613,10.075,-1.564,1.370,1.406,-0.003,0.169,0.000,3.046,1.593,1.460,2.095,0.000,3.786,0.000,1.079,3.669,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
6.711,10.173,-1.564,1.370,1.412,0.000,0.145,0.000,3.019,1.589,1.462,2.105,0.000,3.796,0.000,1.080,3.665,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
6.816,10.279,-1.564,1.370,1.417,0.001,0.136,0.000,2.995,1.586,1.463,2.115,0.000,3.804,0.000,1.081,3.661,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
6.909,10.372,-1.564,1.370,1.421,0.000,0.121,0.000,2.978,1.586,1.467,2.129,0.000,3.836,0.000,1.079,3.637,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
7.013,10.476,-1.561,1.391,1.426,0.551,0.019,0.000,2.981,1.598,1.482,2.161,0.000,3.951,0.000,1.066,3.543,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
7.104,10.566,-1.548,1.484,1.430,1.300,0.060,0.000,3.019,1.618,1.501,2.188,0.000,4.100,1.142,1.047,3.560,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
7.216,10.678,-1.529,1.615,1.430,1.212,6.277,0.000,3.047,1.633,1.515,2.209,0.000,4.210,1.126,0.982,3.721,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
7.316,10.779,-1.515,1.712,1.430,0.837,6.277,0.000,3.070,1.646,1.528,2.227,0.000,4.305,1.113,0.970,3.861,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
7.417,10.879,-1.504,1.796,1.430,0.952,6.277,0.000,3.100,1.662,1.542,2.248,0.000,4.421,1.097,4.334,1.545,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
7.502,10.965,-1.489,1.898,1.431,1.105,6.277,0.000,3.129,1.678,1.557,2.271,0.000,4.541,1.081,4.284,1.401,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
7.600,11.063,-1.474,2.003,1.431,1.022,6.277,0.000,3.156,1.693,1.571,2.291,0.000,4.649,1.066,4.237,1.330,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
7.706,11.169,-1.461,2.098,1.431,0.966,6.277,0.000,3.183,1.708,1.585,2.311,0.000,4.759,1.050,4.191,1.310,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
7.820,11.282,-1.447,2.195,1.431,1.016,6.277,0.000,3.217,1.726,1.602,2.337,0.000,4.896,0.976,4.133,1.359,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
7.912,11.375,-1.430,2.315,1.431,1.028,6.277,0.000,3.240,1.739,1.614,2.354,0.000,4.986,0.964,4.095,1.343,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
8.012,11.474,-1.419,2.395,1.431,1.006,6.277,0.000,3.267,1.754,1.628,2.375,0.000,0.000,1.156,4.048,1.323,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
8.112,11.574,-1.405,2.492,1.431,1.003,6.277,0.000,3.295,1.769,1.642,2.396,0.000,0.000,2.319,4.105,1.303,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
8.200,11.663,-1.392,2.591,1.431,1.016,6.277,0.000,0.000,1.784,1.656,2.417,0.000,1.856,2.408,4.651,1.283,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
8.315,11.777,-1.378,2.690,1.432,1.015,6.277,0.000,0.000,1.799,1.670,2.438,0.000,1.826,2.638,0.000,1.263,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
8.411,11.873,-1.364,2.788,1.432,1.009,6.277,0.000,0.000,1.814,1.685,2.458,0.000,1.797,2.866,0.814,1.243,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
8.515,11.977,-1.350,2.887,1.432,1.011,6.277,0.000,0.000,1.829,1.699,2.479,0.000,1.767,3.096,0.800,1.223,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
8.612,12.074,-1.336,2.986,1.432,1.013,6.277,4.952,0.000,1.844,1.713,2.500,0.000,1.738,4.601,0.837,1.203,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
8.713,12.176,-1.322,3.084,1.432,1.012,6.277,4.853,0.000,1.859,1.727,2.521,0.000,1.708,4.831,0.823,1.183,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
8.808,12.270,-1.309,3.183,1.432,1.011,6.277,4.753,0.000,1.874,1.741,2.542,0.000,1.573,0.000,0.809,1.163,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
8.902,12.364,-1.295,3.282,1.432,1.012,6.277,4.654,0.000,1.889,1.755,2.563,0.000,1.575,0.810,0.795,1.143,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
9.008,12.470,-1.281,3.380,1.432,1.012,6.277,4.554,0.000,1.904,1.769,2.584,0.000,1.688,0.795,0.781,1.123,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
9.114,12.577,-1.267,3.479,1.433,1.012,6.277,4.455,0.000,1.919,1.783,2.605,0.000,1.800,0.835,0.767,1.103,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
9.205,12.667,-1.254,3.578,1.433,1.012,6.277,4.355,4.958,1.934,1.797,2.625,0.000,1.918,0.820,0.753,1.083,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
9.312,12.774,-1.240,3.676,1.433,1.012,6.277,4.256,4.845,1.949,1.811,2.646,0.000,2.090,0.805,0.739,1.063,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
9.403,12.866,-1.226,3.775,1.433,1.012,6.277,4.156,4.732,1.964,1.825,2.667,0.000,2.266,0.790,0.725,1.043,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
9.514,12.976,-1.213,3.874,1.433,1.012,6.277,4.057,4.620,1.979,1.839,2.688,0.000,2.443,0.774,0.711,1.024,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
9.620,13.082,-1.199,3.972,1.433,1.012,6.277,3.938,4.484,1.997,1.856,2.713,0.000,2.654,0.756,0.695,1.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
9.706,13.168,-1.183,4.091,1.433,1.012,6.277,3.858,4.394,2.009,1.867,2.729,0.000,2.795,0.744,0.684,0.984,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
9.811,13.274,-1.172,4.170,1.433,1.012,6.277,3.758,4.281,2.023,1.881,2.750,0.000,1.281,0.729,0.670,0.964,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
9.914,13.376,-1.158,4.268,1.434,1.012,6.277,3.659,4.168,2.038,1.895,2.771,0.000,1.357,0.714,0.656,0.944,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
10.018,13.480,-1.144,4.367,1.434,1.012,6.277,3.560,4.055,2.053,1.909,2.791,0.000,1.328,0.699,0.642,0.924,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
10.112,13.575,-1.131,4.466,1.434,1.012,6.277,3.460,3.943,2.067,1.923,2.814,0.000,1.298,0.683,0.628,0.905,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
10.220,13.682,-1.117,4.564,1.434,1.012,6.274,3.360,3.831,2.197,1.937,2.836,0.000,1.268,0.668,0.615,0.886,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
10.308,13.770,-1.104,4.663,1.435,1.012,6.275,3.261,3.719,4.160,1.951,2.858,0.000,1.239,0.653,0.601,0.867,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
10.411,13.873,-1.090,4.762,1.436,1.012,6.275,3.161,3.607,4.117,1.965,2.879,0.000,1.210,0.638,0.588,0.847,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
